merchant_id,category,city,signup_date
M0275,Home Decor,Lucknow,2026-02-03
M0276,Bakery,Ahmedabad,2026-02-06
M0277,Bakery,Indore,2026-04-05
M0278,Grocery,Lucknow,2026-01-07
M0279,Grocery,Chennai,2026-03-05
M0280,Stationery,Hyderabad,2026-02-24
M0281,Mobile Recharge,Hyderabad,2026-01-07
M0282,Grocery,Delhi,2026-01-20
M0283,Stationery,Jaipur,2026-01-23
M0284,Electronics Repair,Ahmedabad,2026-04-16
M0285,Home Decor,Jaipur,2026-02-02
M0286,Stationery,Delhi,2026-01-23
M0287,Stationery,Delhi,2026-03-31
M0288,Pharmacy,Ahmedabad,2026-01-08
M0289,Grocery,Kolkata,2026-01-31
M0290,Grocery,Jaipur,2026-01-28
M0291,Electronics Repair,Chennai,2026-01-31
M0292,Grocery,Bangalore,2026-02-15
M0293,Electronics Repair,Pune,2026-01-04
M0294,Grocery,Indore,2026-01-07
M0295,Bakery,Pune,2026-01-07
M0296,Bakery,Ahmedabad,2026-01-10
M0297,Pharmacy,Indore,2026-04-13
M0298,Electronics Repair,Ahmedabad,2026-02-19
M0299,Fashion,Jaipur,2026-01-10
